folder,frame,channel_number
.,00_07acbe14f2,0
.,020_2dae83bd2a,20
.,03_df0aad2942,3
.,069_a565248da2,69
.,06_198bec0e52,6
.,06_8c4b21e947,6
.,08_0a26c6242e,8
.,0969_87133fa70f,969
.,1008_741f1c4033,1008
.,100_9a64edbfcc,100
.,1012_1fde28657e,1012
.,1035_15a54bc330,1035
.,1038_b55ec98846,1038
.,103_0bd7a33ada,103
.,105_7a6af54c80,105
.,1078_1651e410a0,1078
.,107_60e568e148,107
.,108_8da4aca5f9,108
.,10_604fc10a3d,10
.,10_6b8a1f9140,10
.,10_b7efd8f0cb,10
.,1103_c14da9cf42,1103
.,110_2c29f4d533,110
.,1113_e8ddcbd888,1113
.,1135_e623f5ff89,1135
.,11362_39c0323072,11362
.,114_74114d7f47,114
.,1176_dd4ba9d51a,1176
.,1177_96363e951d,1177
.,117_57b3a5238b,117
.,11838_645deb9adf,11838
.,11_396d381c04,11
.,1208_327c32ac5d,1208
.,124_97e7f39c42,124
.,124_af599cad78,124
.,125_b33c26c0c0,125
.,127_17ef6e73bb,127
.,12_8edc3a32a2,12
.,12_c491d790a6,12
.,12_efcacc761a,12
.,13046_11289b4aa5,13046
.,130_4fa3f35b14,130
.,1359_a3d371c945,1359
.,13847_b31692b09c,13847
.,138_83dab66bdf,138
.,139_0390b6392f,139
.,13_b8af69a485,13
.,1407_6d26fbfd1e,1407
.,1413_e72b3e30d6,1413
.,146_f755f2583a,146
.,14778_08856b8524,14778
.,147_d87f4531e6,47
.,149_384aedb172,49
.,149_c6d3875d7e,149
.,150_78e9068798,150
.,151_730561306a,151
.,151_8959dcb1e9,151
.,152_8243d7b66f,152
.,1535_1afec68fb7,1535
.,153_4a36bdf496,153
.,15481_35612c098f,15481
.,1552_b2804551eb,1552
.,15_43d20cbd8d,15
.,15_92e55d59c8,2
.,16175_c66ad73192,6175
.,162_b9b5674b31,162
.,1636_f556b07356,1636
.,169_139075ac47,169
.,16_69699a7cf8,16
.,16_72365275d5,16
.,170_f0a732c40d,170
.,172_abec381472,172
.,17437_840aca6192,17437
.,174_f851cf86a3,174
.,175_f07f9ab0d7,175
.,17989_4e00aa7034,17989
.,17_524c0d5f7b,17
.,17_55483ce85a,17
.,17_66bc349615,17
.,18072_d382599d71,18072
.,1843_5415194b0d,1843
.,185_788e1c47cb,185
.,1863_4afbeeba5d,1863
.,18705_d1c3ec4ec0,18705
.,188_1380a9344d,188
.,18902_0f384e5736,18902
.,189_112e058ec8,189
.,18_6e2bbf255a,18
.,18_fe0f792621,18
.,19140_4b23c29f60,19140
.,19330_a1b257a174,19330
.,19456_8f445a004e,19456
.,1971_7a68d42d95,971
.,1976_c6c7d7a7a9,1976
.,19976_44d0fb581b,19976
.,19_ed57f61813,19
.,1_015b6de667,349
.,1_70f7d789c4,1
.,1_7a1c3e6674,5
.,1_cbb864cbd9,1
.,2000_caa3935443,2000
.,2007_e052f966a8,2007
.,2015_bb93092770,2015
.,202_5b862f9c14,202
.,203_e74ca8ead4,203
.,20857_d9e3cbd3b4,20857
.,20_95cc38e415,20
.,20_a4c507db60,20
.,2106_53f0e1c63b,2106
.,2174_79156fe718,2174
.,21_eb54c7a510,21
.,22175_d3b6954830,22175
.,22196_a424796b71,22196
.,2279_0960c0d2c3,2279
.,2289_1c39f18693,2289
.,22_2422c7320d,22
.,22_3cf7725817,22
.,22_4fb5ef13f8,22
.,23078_f6e7137665,23078
.,230_a6b40712a1,230
.,230_f8e2f67880,230
.,233_a8e9db3faa,233
.,235_a1180d055d,235
.,23_ca121cb7a8,23
.,2410_182c18b9f7,2410
.,24350_2539b26f5e,24350
.,2445_2afd7746a4,2445
.,24574_eaa3a7e7f5,24574
.,248_032f32f307,248
.,249_4024e207e9,249
.,24_0e0807fb99,24
.,24_ea33c80542,24
.,25119_a956a20d3d,25119
.,2514_25479cafc0,2514
.,254_a4a5ef2dd5,5
.,2596_96e140496e,2596
.,25993_40c6d47284,25993
.,25_69feb4b04c,25
.,2632_d5f622a920,2632
.,263_dfeaf51237,263
.,26511_5757243eec,26511
.,2652_c5aaf83ec6,2652
.,266_10f96b0cb0,266
.,2672_4e2341567b,2672
.,2672_84a1c49c78,2672
.,2681_4397a701ed,2681
.,26828_75b41c6581,26828
.,26843_29c1fcd863,26843
.,26_0ffa4cad28,26
.,26_c64afcc4fd,26
.,271_9def8af23c,271
.,2720_01ddd35320,2720
.,27407_bdb09dc7bb,27407
.,27474_608d4cfcba,27474
.,274_52d212e339,274
.,27812_7d5d03a0e3,27812
.,2797_8be1c547c3,2797
.,279_942e07f338,279
.,27_445a3c2059,27
.,27_a18d107114,27
.,27_be68f831fd,27
.,28097_f5cfd55b31,28097
.,282_4b23755542,282
.,2836_641fb06009,2836
.,284_7479202ba0,284
