folder,frame,channel_number
.,Ch012__airtel_trial1_0001_All_channels_Captured_0323160626_cycle1_captured_Ch1_delay_2000_findPosition9,12
.,Ch012__airtel_trial1_0002_All_channels_Captured_0323160626_cycle1_captured_Ch1_delay_3000_findPosition9,12
.,Ch012__airtel_trial1_0003_All_channels_Captured_0323160626_cycle1_captured_Ch1_delay_4000_findPosition9,12
.,Ch012__airtel_trial1_0022_All_channels_Captured_0323160626_cycle1_captured_Ch8_delay_2000_findPosition16,12
.,Ch012__airtel_trial1_0023_All_channels_Captured_0323160626_cycle1_captured_Ch8_delay_3000_findPosition16,12
.,Ch012__airtel_trial1_0024_All_channels_Captured_0323160626_cycle1_captured_Ch8_delay_4000_findPosition16,12
.,Ch013__airtel_trial1_0004_All_channels_Captured_0323160626_cycle1_captured_Ch2_delay_2000_findPosition10,13
.,Ch013__airtel_trial1_0005_All_channels_Captured_0323160626_cycle1_captured_Ch2_delay_3000_findPosition10,13
.,Ch013__airtel_trial1_0006_All_channels_Captured_0323160626_cycle1_captured_Ch2_delay_4000_findPosition10,13
.,Ch013__airtel_trial1_0025_All_channels_Captured_0323160626_cycle1_captured_Ch9_delay_2000_findPosition17,13
.,Ch013__airtel_trial1_0026_All_channels_Captured_0323160626_cycle1_captured_Ch9_delay_3000_findPosition17,13
.,Ch013__airtel_trial1_0027_All_channels_Captured_0323160626_cycle1_captured_Ch9_delay_4000_findPosition17,13
.,Ch014__airtel_trial1_0007_All_channels_Captured_0323160626_cycle1_captured_Ch3_delay_2000_findPosition11,14
.,Ch014__airtel_trial1_0008_All_channels_Captured_0323160626_cycle1_captured_Ch3_delay_3000_findPosition11,14
.,Ch015__airtel_trial1_0010_All_channels_Captured_0323160626_cycle1_captured_Ch4_delay_2000_findPosition12,15
.,Ch015__airtel_trial1_0011_All_channels_Captured_0323160626_cycle1_captured_Ch4_delay_3000_findPosition12,15
.,Ch015__airtel_trial1_0012_All_channels_Captured_0323160626_cycle1_captured_Ch4_delay_4000_findPosition12,15
.,Ch094__airtel_trial1_0019_All_channels_Captured_0323160626_cycle1_captured_Ch7_delay_2000_findPosition15,94
.,Ch094__airtel_trial1_0020_All_channels_Captured_0323160626_cycle1_captured_Ch7_delay_3000_findPosition15,94
.,Ch094__airtel_trial1_0021_All_channels_Captured_0323160626_cycle1_captured_Ch7_delay_4000_findPosition15,94
.,Ch098__airtel_trial1_0034_Fav_Captured_0323163732_cycle1_captured_Ch3_delay_2000_findPosition2,98
.,Ch098__airtel_trial1_0035_Fav_Captured_0323163732_cycle1_captured_Ch3_delay_3000_findPosition2,98
.,Ch098__airtel_trial1_0036_Fav_Captured_0323163732_cycle1_captured_Ch3_delay_4000_findPosition2,98
.,Ch098__airtel_trial1_0046_Fav_Captured_0323163732_cycle1_captured_Ch7_delay_2000_findPosition6,98
.,Ch098__airtel_trial1_0047_Fav_Captured_0323163732_cycle1_captured_Ch7_delay_3000_findPosition6,98
.,Ch098__airtel_trial1_0048_Fav_Captured_0323163732_cycle1_captured_Ch7_delay_4000_findPosition6,98
.,Ch098__airtel_trial1_0058_Fav_Captured_0323163732_cycle1_captured_Ch11_delay_2000_findPosition10,98
.,Ch098__airtel_trial1_0059_Fav_Captured_0323163732_cycle1_captured_Ch11_delay_3000_findPosition10,98
.,Ch098__airtel_trial1_0060_Fav_Captured_0323163732_cycle1_captured_Ch11_delay_4000_findPosition10,98
.,Ch098__airtel_trial1_0070_Fav_Captured_0323163732_cycle1_captured_Ch15_delay_2000_findPosition14,98
.,Ch098__airtel_trial1_0071_Fav_Captured_0323163732_cycle1_captured_Ch15_delay_3000_findPosition14,98
.,Ch098__airtel_trial1_0072_Fav_Captured_0323163732_cycle1_captured_Ch15_delay_4000_findPosition14,98
.,Ch098__airtel_trial1_0082_Fav_Captured_0323163732_cycle1_captured_Ch19_delay_2000_findPosition18,98
.,Ch098__airtel_trial1_0083_Fav_Captured_0323163732_cycle1_captured_Ch19_delay_3000_findPosition18,98
.,Ch098__airtel_trial1_0084_Fav_Captured_0323163732_cycle1_captured_Ch19_delay_4000_findPosition18,98
.,Ch098__airtel_trial1_0094_Fav_Captured_0323163732_cycle1_captured_Ch23_delay_2000_findPosition22,98
.,Ch098__airtel_trial1_0095_Fav_Captured_0323163732_cycle1_captured_Ch23_delay_3000_findPosition22,98
.,Ch098__airtel_trial1_0096_Fav_Captured_0323163732_cycle1_captured_Ch23_delay_4000_findPosition22,98
.,Ch098__airtel_trial1_0106_Fav_Captured_0323163732_cycle1_captured_Ch27_delay_2000_findPosition26,98
.,Ch098__airtel_trial1_0107_Fav_Captured_0323163732_cycle1_captured_Ch27_delay_3000_findPosition26,98
.,Ch098__airtel_trial1_0108_Fav_Captured_0323163732_cycle1_captured_Ch27_delay_4000_findPosition26,98
.,Ch098__airtel_trial1_0118_Fav_Captured_0323163732_cycle1_captured_Ch31_delay_2000_findPosition30,98
.,Ch098__airtel_trial1_0119_Fav_Captured_0323163732_cycle1_captured_Ch31_delay_3000_findPosition30,98
.,Ch098__airtel_trial1_0120_Fav_Captured_0323163732_cycle1_captured_Ch31_delay_4000_findPosition30,98
.,Ch098__airtel_trial1_0130_Fav_Captured_0323163732_cycle1_captured_Ch35_delay_2000_findPosition34,98
.,Ch098__airtel_trial1_0131_Fav_Captured_0323163732_cycle1_captured_Ch35_delay_3000_findPosition34,98
